country,Women Weekly Working Hours
India,36.0
China,44.1
United States,34.1
Indonesia,34.8
Pakistan,34.2
Nigeria,42.9
Brazil,35.4
Bangladesh,36.9
Russia,36.9
Ethiopia,27.2
Mexico,38.0
Japan,31.1
Egypt,39.4
Philippines,40.0
DR Congo,33.4
Vietnam,40.9
Iran,31.8
Turkey,40.3
Germany,25.4
Thailand,41.6
United Kingdom,27.0
Tanzania,35.9
France,27.9
South Africa,39.1
Italy,29.7
Kenya,42.2
Myanmar,39.4
Colombia,39.0
South Korea,34.8
Sudan,33.0
Uganda,37.5
Spain,29.4
Algeria,36.0
Iraq,17.4
Argentina,30.3
Afghanistan,15.8
Yemen,17.8
Canada,29.1
Poland,34.0
Morocco,34.4
Angola,37.4
Ukraine,35.1
Uzbekistan,35.0
Malaysia,43.3
Mozambique,25.4
Ghana,29.8
Peru,34.7
Saudi Arabia,37.9
Madagascar,29.4
Ivory Coast,41.0
Nepal,34.7
Cameroon,40.1
Venezuela,37.0
Niger,33.4
Australia,28.5
North Korea,36.9
Syria,17.1
Mali,36.0
Burkina Faso,39.8
Taiwan,34.3
Sri Lanka,36.2
Malawi,26.5
Zambia,39.8
Kazakhstan,36.4
Chad,38.2
Chile,34.1
Romania,37.9
Somalia,27.4
Senegal,37.7
Guatemala,36.8
Netherlands,22.1
Ecuador,33.0
Cambodia,44.3
Zimbabwe,33.6
Guinea,34.9
Benin,36.0
Rwanda,27.6
Burundi,38.4
Bolivia,34.8
Tunisia,41.2
South Sudan,36.5
Haiti,39.8
Belgium,27.3
Jordan,41.3
Dominican Republic,35.8
United Arab Emirates,57.1
Cuba,37.6
Honduras,37.3
Czech Republic,32.7
Sweden,26.8
Tajikistan,35.5
Papua New Guinea,39.5
Portugal,32.1
Azerbaijan,33.2
Greece,34.6
Hungary,34.8
Togo,41.5
Israel,31.4
Austria,25.0
Belarus,33.3
Switzerland,28.6
Sierra Leone,40.3
Laos,40.9
Turkmenistan,38.0
Hong Kong,41.3
Libya,40.7
Kyrgyzstan,29.3
Paraguay,37.8
Nicaragua,31.3
Bulgaria,37.5
Serbia,37.4
El Salvador,41.4
Republic of the Congo,47.5
Denmark,26.5
Singapore,42.8
Lebanon,40.8
Finland,26.4
Liberia,46.2
Norway,24.3
Slovakia,30.7
Palestine,31.4
Central African Republic,36.7
Oman,37.0
Ireland,26.1
New Zealand,29.2
Mauritania,37.5
Costa Rica,36.3
Kuwait,39.4
Panama,32.2
Croatia,32.7
Georgia,33.1
Eritrea,32.5
Mongolia,43.2
Uruguay,29.6
Puerto Rico,34.8
Bosnia and Herzegovina,40.1
Qatar,48.3
Moldova,37.1
Namibia,40.9
Armenia,32.6
Lithuania,32.6
Jamaica,40.8
Albania,38.5
Gambia,30.9
Gabon,39.1
Botswana,41.0
Lesotho,47.6
Guinea-Bissau,33.1
Slovenia,32.4
Equatorial Guinea,38.7
Latvia,31.6
North Macedonia,37.1
Bahrain,35.6
Trinidad and Tobago,36.0
Timor-Leste,31.0
Estonia,30.0
Cyprus,32.6
Mauritius,37.9
Eswatini,40.7
Djibouti,27.5
Fiji,30.9
Comoros,34.3
Guyana,37.3
Solomon Islands,34.8
Bhutan,53.5
Macau,44.9
Luxembourg,27.3
Montenegro,41.0
Suriname,34.0
Western Sahara,34.4
Malta,31.1
Maldives,35.8
Cape Verde,41.5
Brunei,45.3
Belize,36.6
Bahamas,36.5
Iceland,28.6
Vanuatu,28.2
New Caledonia,33.1
Barbados,35.7
French Polynesia,32.5
Sao Tome and Principe,35.9
Samoa,42.4
Saint Lucia,39.3
Guam,33.9
Tonga,30.3
Saint Vincent and the Grenadines,36.8
United States Virgin Islands,32.2
